episode,global_step,from_policy,to_policy,true_policy,normalized_error,running_error,best_candidate,best_candidate_error,current_candidate_error,switch_margin
102,4001,direct,detour,detour,0.6405003070831299,0.0,detour,0.039896659553050995,0.6724929809570312,0.6325963214039803
106,4166,detour,attack,attack,0.3751283884048462,0.0,attack,0.07120416313409805,0.3416385352611542,0.2704343721270561
106,4320,attack,direct,direct,0.9651352167129517,0.0,direct,0.38057741522789,0.9797902703285217,0.5992128551006317
114,4481,direct,detour,detour,0.3663634657859802,0.0,detour,0.06547513604164124,0.3841874897480011,0.31871235370635986
118,4640,detour,direct,attack,0.511480987071991,0.0,direct,0.16795703768730164,0.5667107105255127,0.39875367283821106
128,4961,direct,detour,detour,0.5287895202636719,0.0,detour,0.04737943783402443,0.5345045328140259,0.48712509498000145
132,5126,detour,attack,attack,0.2605164349079132,0.0,attack,0.021705087274312973,0.29340308904647827,0.2716980017721653
139,5441,attack,detour,detour,0.2779008746147156,0.0,detour,0.05959228798747063,0.33098599314689636,0.27139370515942574
143,5610,detour,attack,attack,0.5747122168540955,0.0,attack,0.06510362029075623,0.5332916975021362,0.46818807721138
152,5922,attack,detour,detour,0.39126572012901306,0.0,detour,0.048630356788635254,0.36228740215301514,0.3136570453643799
156,6099,detour,attack,attack,0.427021861076355,0.0,attack,0.12300894409418106,0.44996652007102966,0.3269575759768486
157,6240,attack,detour,direct,0.6066882014274597,0.0,detour,0.27455252408981323,0.6590805053710938,0.3845279812812805
160,6320,detour,direct,direct,0.31816303730010986,0.0,direct,0.013504930771887302,0.3046371042728424,0.2911321735009551
168,6752,direct,detour,direct,0.2870255708694458,0.0,detour,0.058874815702438354,0.32456517219543457,0.2656903564929962
174,6832,detour,direct,direct,0.3080817461013794,0.0,direct,0.031879350543022156,0.3397694230079651,0.30789007246494293
177,6916,direct,detour,detour,0.3515487015247345,0.0,detour,0.07474444061517715,0.37197232246398926,0.2972278818488121
180,7057,detour,attack,attack,0.2698249816894531,0.0,attack,0.0077224066480994225,0.26301342248916626,0.25529101584106684
190,7360,attack,detour,detour,0.3464958965778351,0.0,detour,0.023752285167574883,0.3336066007614136,0.3098543155938387
194,7520,detour,direct,attack,0.4183564782142639,0.0,direct,0.09156876802444458,0.3856015205383301,0.2940327525138855
195,7608,direct,attack,attack,0.4912480115890503,0.0,attack,0.25023654103279114,0.5211820602416992,0.2709455192089081
202,7794,attack,direct,direct,0.29163962602615356,0.0,direct,0.056817084550857544,0.3092825412750244,0.25246545672416687
205,7874,direct,detour,detour,0.617165744304657,0.0,detour,0.11658655107021332,0.6346694231033325,0.5180828720331192
208,8047,detour,attack,attack,0.5647990703582764,0.0,attack,0.2974187135696411,0.5807254910469055,0.2833067774772644
214,8323,attack,detour,detour,0.4110579788684845,0.0,detour,0.0665288195014,0.3913927972316742,0.3248639777302742
218,8480,detour,direct,attack,0.4110727906227112,0.0,direct,0.151426762342453,0.40730020403862,0.255873441696167
228,8788,direct,detour,direct,0.8816722631454468,0.0,detour,0.31118178367614746,0.8332598805427551,0.5220780968666077
234,8960,detour,attack,attack,0.4770074188709259,0.0,attack,0.13281571865081787,0.4703589975833893,0.3375432789325714
235,9121,attack,direct,direct,0.47777485847473145,0.0,direct,0.0883784145116806,0.5058653354644775,0.41748692095279694
244,9284,direct,detour,detour,0.3284263610839844,0.0,detour,0.05201292783021927,0.31312620639801025,0.261113278567791
248,9447,detour,attack,attack,0.26529747247695923,0.0,attack,0.027574967592954636,0.28335440158843994,0.2557794339954853
248,9527,attack,detour,attack,0.5160261392593384,0.0,detour,0.1715679168701172,0.45417606830596924,0.28260815143585205
251,9618,detour,direct,direct,0.3780409097671509,0.0,direct,0.07541044801473618,0.3912947177886963,0.3158842697739601
258,9795,direct,detour,detour,0.5300215482711792,0.0,detour,0.2591543197631836,0.5096265077590942,0.25047218799591064
261,9946,detour,attack,attack,0.5251528024673462,0.0,attack,0.16145411133766174,0.5404640436172485,0.3790099322795868
