episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,predator_a_action,predator_b_action
41,352,5,-1.0,-5.0,chase_y,2,1
41,353,6,-1.0,-6.0,chase_y,2,2
41,354,7,-1.0,-7.0,chase_y,3,0
41,355,8,-1.0,-8.0,chase_y,3,2
41,356,9,-1.0,-9.0,chase_y,3,3
41,357,10,99.0,90.0,chase_y,3,1
42,358,1,-1.0,-1.0,chase_y,2,4
42,359,2,-1.0,-2.0,chase_y,3,1
42,360,3,-1.0,-3.0,chase_y,2,4
42,361,4,-1.0,-4.0,chase_y,3,1
42,362,5,-1.0,-5.0,chase_y,3,1
42,363,6,-1.0,-6.0,chase_y,2,4
42,364,7,-1.0,-7.0,chase_y,3,0
42,365,8,99.0,92.0,chase_y,3,1
43,366,1,-1.0,-1.0,chase_y,1,1
43,367,2,-1.0,-2.0,chase_y,4,1
43,368,3,99.0,97.0,chase_y,4,1
44,369,1,-1.0,-1.0,chase_y,3,2
44,370,2,-1.0,-2.0,chase_y,3,2
44,371,3,-1.0,-3.0,chase_y,3,3
44,372,4,-1.0,-4.0,chase_y,4,2
44,373,5,-1.0,-5.0,chase_y,1,3
44,374,6,-1.0,-6.0,chase_y,4,3
44,375,7,-1.0,-7.0,chase_y,1,1
44,376,8,-1.0,-8.0,chase_y,2,2
44,377,9,99.0,91.0,chase_y,4,4
45,378,1,-1.0,-1.0,chase_y,3,2
45,379,2,-1.0,-2.0,chase_y,3,2
45,380,3,-1.0,-3.0,chase_y,3,3
45,381,4,-1.0,-4.0,chase_y,3,3
45,382,5,-1.0,-5.0,chase_y,3,3
45,383,6,-1.0,-6.0,chase_y,4,2
45,384,7,-1.0,-7.0,chase_y,4,2
45,385,8,99.0,92.0,chase_y,4,0
46,386,1,-1.0,-1.0,chase_y,4,1
46,387,2,-1.0,-2.0,chase_y,4,3
46,388,3,-1.0,-3.0,chase_y,4,1
46,389,4,-1.0,-4.0,chase_y,4,3
46,390,5,-1.0,-5.0,chase_y,4,0
46,391,6,-1.0,-6.0,chase_y,4,0
46,392,7,-1.0,-7.0,chase_y,4,4
46,393,8,99.0,92.0,chase_y,2,0
47,394,1,-1.0,-1.0,chase_y,2,2
47,395,2,-1.0,-2.0,chase_y,4,2
47,396,3,-1.0,-3.0,chase_y,4,4
47,397,4,-1.0,-4.0,chase_y,4,4
47,398,5,-1.0,-5.0,chase_y,3,4
47,399,6,-1.0,-6.0,chase_y,3,2
47,400,7,-1.0,-7.0,chase_x,3,3
47,401,8,-1.0,-8.0,chase_x,4,3
47,402,9,-1.0,-9.0,chase_x,4,3
47,403,10,-1.0,-10.0,chase_x,4,3
47,404,11,-1.0,-11.0,chase_x,1,3
47,405,12,-1.0,-12.0,chase_x,4,1
