episode,global_step,episode_step,reward,episode_reward_so_far,intruder_policy,response_policy,response_policy_correct,winner,reason,collision,intruder_distance,agent_distance,interceptor_action_x,interceptor_action_y
1,29,13,-0.20061935544013978,-2.692277126312256,direct,direct,True,,running,False,1.2336944341659546,1.2615203857421875,-0.02199999988079071,-0.02199999988079071
1,30,14,-0.19762264251708986,-2.8898997688293457,direct,direct,True,,running,False,1.2156944274902344,1.2420368194580078,-0.02199999988079071,0.02199999988079071
1,31,15,-0.19471459746360778,-3.0846143662929535,direct,direct,True,,running,False,1.1976944208145142,1.2229965925216675,-0.02199999988079071,0.02199999988079071
1,32,16,-0.18766948938369754,-3.272283855676651,direct,direct,True,,running,False,1.179694414138794,1.183271050453186,0.015692703425884247,0.02199999988079071
1,33,17,-0.189387503862381,-3.4616713595390323,direct,direct,True,,running,False,1.1616944074630737,1.1873611211776733,-0.02199999988079071,-0.02199999988079071
1,34,18,-0.19110680580139164,-3.652778165340424,direct,direct,True,,running,False,1.1436944007873535,1.1914576292037964,-0.02199999988079071,-0.02199999988079071
1,35,19,-0.19282734751701358,-3.845605512857438,direct,direct,True,,running,False,1.1256943941116333,1.195560336112976,-0.02199999988079071,-0.02199999988079071
1,36,20,-0.19454910516738894,-4.040154618024827,direct,direct,True,,running,False,1.107694387435913,1.1996691226959229,-0.02199999988079071,-0.02199999988079071
1,37,21,-0.18747514843940738,-4.227629766464235,direct,direct,True,,running,False,1.0896943807601929,1.159799337387085,0.02199999988079071,0.02199999988079071
1,38,22,-0.18919881343841555,-4.41682857990265,direct,direct,True,,running,False,1.0716943740844727,1.1639176607131958,-0.02199999988079071,-0.02199999988079071
1,39,23,-0.18666725516319277,-4.603495835065843,direct,direct,True,,running,False,1.0536943674087524,1.1467598676681519,0.02199999988079071,-0.02199999988079071
1,40,24,-0.18838276624679567,-4.791878601312638,direct,direct,True,,running,False,1.0356943607330322,1.1508374214172363,-0.02199999988079071,-0.02199999988079071
1,41,25,-0.1813059484958649,-4.973184549808503,direct,direct,True,,running,False,1.017694354057312,1.1109533309936523,0.02199999988079071,0.02199999988079071
