episode,opsdemo_reward,response_policy_accuracy,baseline_reward
293,84.0,0.6666666666666666,79.0
294,94.0,1.0,92.0
295,90.0,1.0,96.0
296,92.0,1.0,92.0
297,87.0,1.0,96.0
298,96.0,1.0,90.0
299,91.0,1.0,89.0
300,93.0,1.0,92.0
301,92.0,1.0,93.0
302,94.0,1.0,84.0
303,98.0,1.0,94.0
304,95.0,1.0,95.0
305,91.0,1.0,90.0
306,72.0,0.5714285714285714,90.0
307,94.0,1.0,93.0
308,91.0,1.0,92.0
309,90.0,1.0,89.0
310,96.0,1.0,96.0
311,91.0,1.0,81.0
312,91.0,1.0,76.0
313,91.0,1.0,87.0
314,92.0,1.0,91.0
315,96.0,1.0,93.0
316,89.0,1.0,88.0
317,95.0,1.0,96.0
318,89.0,0.45454545454545453,91.0
319,92.0,1.0,99.0
320,88.0,1.0,87.0
321,89.0,1.0,95.0
322,97.0,1.0,93.0
323,90.0,1.0,91.0
324,84.0,1.0,90.0
325,94.0,1.0,85.0
326,91.0,1.0,94.0
327,96.0,1.0,92.0
328,92.0,1.0,95.0
329,82.0,0.6470588235294118,87.0
330,91.0,1.0,94.0
331,97.0,1.0,88.0
332,91.0,1.0,87.0
333,94.0,1.0,93.0
334,98.0,1.0,95.0
335,91.0,1.0,97.0
336,93.0,1.0,88.0
337,92.0,1.0,93.0
338,92.0,1.0,93.0
339,88.0,1.0,89.0
340,74.0,0.8,97.0
341,91.0,1.0,94.0
342,90.0,1.0,90.0
343,91.0,1.0,87.0
344,94.0,1.0,94.0
345,90.0,1.0,91.0
346,91.0,1.0,89.0
347,93.0,1.0,90.0
348,93.0,1.0,95.0
349,84.0,1.0,92.0
350,85.0,0.8,96.0
351,92.0,1.0,96.0
352,87.0,1.0,92.0
353,95.0,1.0,85.0
354,97.0,1.0,86.0
355,90.0,1.0,89.0
356,91.0,1.0,95.0
357,95.0,1.0,87.0
358,97.0,1.0,92.0
359,84.0,1.0,85.0
360,91.0,1.0,95.0
361,95.0,1.0,94.0
362,72.0,0.5238095238095238,98.0
363,94.0,1.0,96.0
364,95.0,1.0,87.0
365,91.0,1.0,90.0
366,94.0,1.0,94.0
367,94.0,1.0,90.0
368,90.0,1.0,94.0
369,91.0,1.0,95.0
370,94.0,1.0,89.0
371,94.0,1.0,92.0
372,89.0,1.0,90.0
373,93.0,1.0,95.0
374,77.0,0.6956521739130435,95.0
375,98.0,1.0,90.0
376,96.0,1.0,92.0
377,90.0,1.0,90.0
378,88.0,1.0,83.0
379,95.0,1.0,93.0
380,92.0,1.0,96.0
381,94.0,1.0,90.0
382,91.0,1.0,89.0
