episode,global_step,from_policy,to_policy,true_policy,normalized_error,running_error,best_candidate,best_candidate_error,current_candidate_error,switch_margin
147,6204,attack,detour,attack,1.1236677169799805,0.0,detour,0.809432864189148,1.2408294677734375,0.43139660358428955
151,6287,detour,direct,direct,0.31631705164909363,0.0,direct,0.06245100498199463,0.3145877420902252,0.2521367371082306
157,6477,direct,detour,detour,0.3880925178527832,0.0,detour,0.05243587866425514,0.38913482427597046,0.3366989456117153
159,6671,detour,attack,attack,0.3093508780002594,0.0,attack,0.035756878554821014,0.319774329662323,0.284017451107502
168,6880,attack,detour,detour,0.4186243414878845,0.0,detour,0.11486677080392838,0.4091625213623047,0.2942957505583763
172,7109,detour,attack,attack,0.4666781425476074,0.0,attack,0.07817673683166504,0.5184335708618164,0.44025683403015137
173,7200,attack,direct,direct,0.42689239978790283,0.0,direct,0.11463762074708939,0.41297510266304016,0.2983374819159508
183,7423,direct,detour,detour,0.4676319360733032,0.0,detour,0.18922434747219086,0.44221192598342896,0.2529875785112381
187,7625,detour,attack,attack,0.5435678958892822,0.0,attack,0.04051274433732033,0.5223416686058044,0.4818289242684841
196,8000,attack,detour,attack,0.3732125461101532,0.0,detour,0.1859206110239029,0.47351109981536865,0.28759048879146576
196,8160,detour,direct,direct,0.7982120513916016,0.0,direct,0.3794897496700287,0.7942162156105042,0.41472646594047546
207,8353,direct,attack,detour,0.3918642997741699,0.0,attack,0.05877428129315376,0.3987481892108917,0.33997390791773796
209,8539,attack,detour,attack,0.40222352743148804,0.0,detour,0.16620510816574097,0.47415322065353394,0.30794811248779297
209,8619,detour,attack,attack,0.4988820552825928,0.0,attack,0.06648290157318115,0.5641589164733887,0.4976760149002075
216,8963,attack,detour,attack,0.29895734786987305,0.0,detour,0.06382589787244797,0.3338327407836914,0.27000684291124344
216,9098,detour,attack,attack,0.4385016858577728,0.0,attack,0.16169537603855133,0.4698876142501831,0.3081922382116318
228,9280,attack,detour,detour,0.40446117520332336,0.0,detour,0.11540590226650238,0.4478969871997833,0.33249108493328094
233,9481,detour,attack,attack,0.25786077976226807,0.0,attack,0.009250839240849018,0.27056121826171875,0.26131037902086973
243,9784,attack,detour,detour,0.2647245526313782,0.0,detour,0.06704036146402359,0.3251868486404419,0.2581464871764183
246,9968,detour,attack,attack,0.4859471917152405,0.0,attack,0.16588184237480164,0.5667461156845093,0.40086427330970764
247,10080,attack,direct,direct,0.547967791557312,0.0,direct,0.19811993837356567,0.5099016427993774,0.31178170442581177
257,10280,direct,detour,detour,0.3874287009239197,0.0,detour,0.12040534615516663,0.3790125846862793,0.25860723853111267
260,10445,detour,attack,attack,0.5097028017044067,0.0,attack,0.14119240641593933,0.5048507452011108,0.3636583387851715
271,10863,attack,detour,detour,0.32424959540367126,0.0,detour,0.08439360558986664,0.34070971608161926,0.2563161104917526
271,10987,detour,attack,attack,0.42400509119033813,0.0,attack,0.1423805058002472,0.4075688123703003,0.2651883065700531
282,11273,attack,detour,detour,0.23088614642620087,0.0,detour,0.019317178055644035,0.27978062629699707,0.26046344824135303
284,11434,detour,attack,attack,0.30559414625167847,0.0,attack,0.062120065093040466,0.343503475189209,0.2813834100961685
284,11515,attack,detour,attack,1.2305384874343872,0.0,detour,0.9875742197036743,1.2651029825210571,0.2775287628173828
