episode,global_step,from_policy,to_policy,true_policy,normalized_error
169,6477,direct,detour,detour,1.2304524183273315
169,6488,detour,attack,detour,0.32451653480529785
169,6498,attack,direct,detour,2.029984474182129
169,6509,direct,detour,detour,0.5990951061248779
169,6519,detour,attack,detour,0.48964694142341614
169,6528,attack,direct,detour,1.2408369779586792
169,6539,direct,detour,detour,1.1248779296875
169,6549,detour,detour,detour,0.8296411037445068
169,6560,detour,direct,attack,0.8749430179595947
169,6574,direct,direct,attack,0.2744273245334625
169,6610,direct,direct,attack,0.1913401335477829
170,6645,direct,attack,attack,1.022646188735962
170,6697,attack,attack,attack,0.1449437439441681
171,6726,attack,attack,direct,0.3483084440231323
175,6773,attack,attack,direct,0.15193520486354828
178,6820,attack,attack,direct,0.34633734822273254
179,6854,attack,attack,direct,0.07527169585227966
181,6884,attack,attack,detour,0.47112876176834106
182,6933,attack,detour,detour,0.6518503427505493
182,6953,detour,detour,detour,0.34252405166625977
183,6975,detour,detour,detour,0.2768954634666443
183,7008,detour,direct,detour,0.556433916091919
183,7021,direct,attack,detour,0.890475869178772
183,7045,attack,direct,attack,0.6043674349784851
184,7101,direct,attack,attack,0.45872628688812256
184,7137,attack,attack,attack,0.3288896381855011
184,7157,attack,detour,attack,0.23165884613990784
184,7173,detour,detour,attack,0.7332048416137695
184,7184,detour,attack,attack,0.681453287601471
184,7204,attack,attack,direct,0.21841421723365784
190,7297,attack,attack,direct,0.6397053003311157
193,7343,attack,direct,direct,0.2804408073425293
193,7372,direct,direct,detour,0.3108330965042114
193,7412,direct,detour,detour,0.4662044048309326
194,7429,detour,attack,detour,1.0963988304138184
194,7474,attack,direct,detour,2.113624095916748
194,7495,direct,direct,detour,0.1764010190963745
194,7534,direct,direct,attack,0.3205946087837219
194,7593,direct,direct,attack,0.1749376505613327
195,7639,direct,direct,attack,0.19982942938804626
196,7675,direct,direct,attack,0.11006610840559006
199,7711,direct,direct,direct,0.23438668251037598
201,7737,direct,attack,direct,0.23758137226104736
204,7784,attack,attack,direct,0.3548583388328552
206,7823,attack,attack,direct,0.22687067091464996
207,7886,attack,detour,detour,2.324828863143921
207,7893,detour,detour,detour,1.0916051864624023
207,7906,detour,attack,detour,1.0911418199539185
207,7931,attack,attack,detour,0.126436248421669
207,7985,attack,detour,detour,1.956884503364563
207,7992,detour,attack,detour,1.829016923904419
207,7997,attack,detour,detour,2.0429701805114746
207,8027,detour,detour,attack,0.2925463318824768
207,8050,detour,direct,attack,0.7157613635063171
208,8100,direct,detour,attack,0.2902912497520447
208,8117,detour,detour,attack,0.4576472342014313
208,8145,detour,attack,attack,0.69356369972229
211,8180,attack,direct,direct,0.4917294979095459
214,8231,direct,direct,direct,0.3306966722011566
220,8293,direct,attack,direct,0.31563788652420044
222,8324,attack,detour,detour,0.6649169921875
222,8348,detour,attack,detour,0.2970729470252991
222,8389,attack,attack,detour,0.5287010669708252
222,8399,attack,direct,detour,0.7677273750305176
222,8426,direct,direct,detour,0.21981582045555115
222,8453,direct,detour,detour,1.5908565521240234
222,8463,detour,attack,detour,1.0029590129852295
