episode,global_step,episode_step,true_policy,new_assumed_policy
767,9370,20,chase_y,chase_y
769,9379,5,chase_y,chase_x
769,9383,9,chase_y,chase_x
769,9387,13,chase_y,chase_x
769,9392,18,chase_y,chase_x
769,9397,23,chase_y,chase_x
770,9401,4,chase_x,chase_x
771,9413,4,chase_x,chase_y
771,9417,8,chase_x,chase_x
771,9421,12,chase_x,chase_y
772,9425,4,chase_x,chase_x
773,9435,7,chase_x,chase_x
774,9439,3,chase_x,chase_x
775,9445,1,chase_x,chase_x
776,9452,5,chase_x,chase_y
776,9456,9,chase_x,chase_x
776,9460,13,chase_x,chase_x
778,9469,2,chase_x,chase_x
778,9474,7,chase_x,chase_x
780,9480,3,chase_x,chase_y
780,9487,10,chase_x,chase_x
780,9492,15,chase_x,chase_x
781,9501,9,chase_y,chase_y
781,9510,18,chase_y,chase_x
782,9514,3,chase_y,chase_y
782,9520,9,chase_y,chase_x
782,9524,13,chase_y,chase_x
782,9529,18,chase_y,chase_x
782,9534,23,chase_y,chase_x
782,9538,27,chase_y,chase_y
782,9542,31,chase_y,chase_x
782,9547,36,chase_y,chase_x
783,9552,1,chase_y,chase_y
784,9560,2,chase_y,chase_x
785,9566,1,chase_y,chase_x
786,9572,3,chase_y,chase_x
786,9577,8,chase_y,chase_x
786,9582,13,chase_y,chase_x
786,9587,18,chase_y,chase_x
786,9595,26,chase_y,chase_x
786,9602,33,chase_x,chase_x
789,9621,6,chase_x,chase_x
789,9625,10,chase_x,chase_y
790,9629,4,chase_x,chase_x
790,9633,8,chase_x,chase_y
790,9637,12,chase_x,chase_x
792,9645,2,chase_x,chase_x
793,9652,1,chase_x,chase_x
795,9664,4,chase_x,chase_x
795,9669,9,chase_x,chase_x
797,9677,3,chase_x,chase_y
797,9681,7,chase_x,chase_x
797,9685,11,chase_x,chase_x
798,9695,6,chase_x,chase_x
798,9703,14,chase_y,chase_y
798,9709,20,chase_y,chase_x
798,9714,25,chase_y,chase_x
798,9718,29,chase_y,chase_x
798,9724,35,chase_y,chase_x
798,9729,40,chase_y,chase_y
799,9736,7,chase_y,chase_x
799,9741,12,chase_y,chase_x
799,9745,16,chase_y,chase_x
799,9749,20,chase_y,chase_y
799,9754,25,chase_y,chase_x
800,9758,4,chase_y,chase_y
800,9764,10,chase_y,chase_x
800,9771,17,chase_y,chase_x
800,9777,23,chase_y,chase_x
800,9783,29,chase_y,chase_x
800,9787,33,chase_y,chase_x
800,9792,38,chase_y,chase_x
801,9799,5,chase_y,chase_y
801,9803,9,chase_x,chase_x
804,9814,2,chase_x,chase_x
805,9823,5,chase_x,chase_x
807,9832,1,chase_x,chase_x
808,9841,8,chase_x,chase_x
808,9848,15,chase_x,chase_x
811,9871,7,chase_x,chase_x
813,9876,1,chase_x,chase_y
813,9881,6,chase_x,chase_x
814,9890,5,chase_x,chase_x
815,9902,11,chase_y,chase_y
815,9909,18,chase_y,chase_x
816,9913,4,chase_y,chase_y
817,9924,7,chase_y,chase_x
818,9928,3,chase_y,chase_x
818,9932,7,chase_y,chase_x
818,9936,11,chase_y,chase_x
818,9941,16,chase_y,chase_x
818,9946,21,chase_y,chase_x
818,9951,26,chase_y,chase_x
818,9956,31,chase_y,chase_x
818,9960,35,chase_y,chase_x
818,9964,39,chase_y,chase_y
819,9975,10,chase_y,chase_x
819,9979,14,chase_y,chase_x
819,9985,20,chase_y,chase_x
819,9989,24,chase_y,chase_x
819,9994,29,chase_y,chase_x
819,9998,33,chase_y,chase_x
820,10009,4,chase_x,chase_y
821,10015,1,chase_x,chase_x
821,10024,10,chase_x,chase_x
823,10040,4,chase_x,chase_x
824,10047,6,chase_x,chase_x
826,10057,5,chase_x,chase_x
826,10061,9,chase_x,chase_x
827,10065,2,chase_x,chase_x
