experiment_name,run_dir,episodes,total_steps,mean_episode_reward,baseline_mean_episode_reward,reward_improvement,interceptor_win_rate,baseline_interceptor_win_rate,win_rate_improvement,response_policy_accuracy,switch_count,process_pass,engineering_pass,paper_like_pass,judgement,interceptor_max_speed,intruder_max_speed,collision_radius,total_timesteps,seed
continuous_sam_geometry_confirm_aggressive_is0p03_us0p016_cr0p08_ts1500000_s44_samth8_dc0p02_wu20_cd40_mg0p2_nv0p0005_mx8_fmgeometry_oufalse,runs/continuous_sam_geometry_confirm_aggressive_is0p03_us0p016_cr0p08_ts1500000_s44_samth8_dc0p02_wu20_cd40_mg0p2_nv0p0005_mx8_fmgeometry_oufalse/20260515_234831,800,28406,-53.8981111487795,-109.12202236779572,55.22391121901622,0.25,0.005,0.245,0.7492431176512004,183.0,True,False,False,仅达到流程过关：链路已跑通，但相对 baseline 的收益仍不足。,0.03,0.016,0.08,1500000,44
continuous_sam_confirm_msbest_is0p03_us0p016_cr0p08_ts1500000_s44_samth10_dc0p01_wu30_cd80_mg0p35_nv0p001_mx8_oufalse,runs/continuous_sam_confirm_msbest_is0p03_us0p016_cr0p08_ts1500000_s44_samth10_dc0p01_wu30_cd80_mg0p35_nv0p001_mx8_oufalse/20260514_214053,800,31822,-58.063249754017434,-109.12202236779572,51.05877261377829,0.23125,0.005,0.22625,0.32006159260888695,28.0,True,False,False,仅达到流程过关：链路已跑通，但相对 baseline 的收益仍不足。,0.03,0.016,0.08,1500000,44
continuous_sam_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth14_dc0p01_wu40_cd160_mg0p75_nv0p001_mx8_oufalse,runs/continuous_sam_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth14_dc0p01_wu40_cd160_mg0p75_nv0p001_mx8_oufalse/20260514_015213,300,10323,-55.83891612291933,-105.95892317854663,50.1200070556273,0.23666666666666666,0.013333333333333334,0.22333333333333333,0.33352707546255933,1.0,True,False,False,仅达到流程过关：链路已跑通，但相对 baseline 的收益仍不足。,0.03,0.016,0.08,300000,42
continuous_sam_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth16_dc0p02_wu40_cd120_mg1_nv0p0005_mx8_oufalse,runs/continuous_sam_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth16_dc0p02_wu40_cd120_mg1_nv0p0005_mx8_oufalse/20260514_015204,300,10323,-55.83891612291933,-105.95892317854663,50.1200070556273,0.23666666666666666,0.013333333333333334,0.22333333333333333,0.33352707546255933,1.0,True,False,False,仅达到流程过关：链路已跑通，但相对 baseline 的收益仍不足。,0.03,0.016,0.08,300000,42
continuous_sam_multiseed_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth10_dc0p01_wu30_cd80_mg0p35_nv0p001_mx8_oufalse,runs/continuous_sam_multiseed_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth10_dc0p01_wu30_cd80_mg0p35_nv0p001_mx8_oufalse/20260514_082506,300,12053,-65.63591981240461,-105.95892317854663,40.32300336614202,0.19666666666666666,0.013333333333333334,0.18333333333333332,0.37293619845681575,20.0,True,False,False,仅达到流程过关：链路已跑通，但相对 baseline 的收益仍不足。,0.03,0.016,0.08,300000,42
continuous_sam_geometry_confirm_balanced_is0p03_us0p016_cr0p08_ts1500000_s44_samth12_dc0p02_wu30_cd80_mg0p5_nv0p0005_mx8_fmgeometry_oufalse,runs/continuous_sam_geometry_confirm_balanced_is0p03_us0p016_cr0p08_ts1500000_s44_samth12_dc0p02_wu30_cd80_mg0p5_nv0p0005_mx8_fmgeometry_oufalse/20260515_234844,800,33219,-67.60713045687312,-109.12202236779572,41.5148919109226,0.18625,0.005,0.18125,0.350492188205545,47.0,True,False,False,仅达到流程过关：链路已跑通，但相对 baseline 的收益仍不足。,0.03,0.016,0.08,1500000,44
continuous_sam_multiseed_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth12_dc0p02_wu30_cd80_mg0p5_nv0p0005_mx8_fmgeometry_oufalse,runs/continuous_sam_multiseed_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth12_dc0p02_wu30_cd80_mg0p5_nv0p0005_mx8_fmgeometry_oufalse/20260515_202414,300,12589,-70.70009945468095,-105.95892317854663,35.258823723865675,0.17333333333333334,0.013333333333333334,0.16,0.44006672491857973,31.0,True,False,False,仅达到流程过关：链路已跑通，但相对 baseline 的收益仍不足。,0.03,0.016,0.08,300000,42
continuous_sam_multiseed_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth12_dc0p02_wu30_cd80_mg0p5_nv0p0005_mx8_fmgeometry_oufalse,runs/continuous_sam_multiseed_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth12_dc0p02_wu30_cd80_mg0p5_nv0p0005_mx8_fmgeometry_oufalse/20260516_030620,300,12589,-70.70009945468095,-105.95892317854663,35.258823723865675,0.17333333333333334,0.013333333333333334,0.16,0.44006672491857973,31.0,True,False,False,仅达到流程过关：链路已跑通，但相对 baseline 的收益仍不足。,0.03,0.016,0.08,300000,42
continuous_sam_multiseed_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth12_dc0p01_wu40_cd100_mg0p5_nv0p001_mx8_oufalse,runs/continuous_sam_multiseed_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth12_dc0p01_wu40_cd100_mg0p5_nv0p001_mx8_oufalse/20260514_090158,300,11069,-70.55788112925974,-105.95892317854663,35.401042049286886,0.17,0.013333333333333334,0.15666666666666668,0.3361640617942,2.0,True,False,False,仅达到流程过关：链路已跑通，但相对 baseline 的收益仍不足。,0.03,0.016,0.08,300000,42
continuous_sam_multiseed_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth14_dc0p02_wu40_cd120_mg0p75_nv0p0005_mx8_oufalse,runs/continuous_sam_multiseed_tune_is0p03_us0p016_cr0p08_ts300000_s42_samth14_dc0p02_wu40_cd120_mg0p75_nv0p0005_mx8_oufalse/20260514_091518,300,11069,-70.55788112925974,-105.95892317854663,35.401042049286886,0.17,0.013333333333333334,0.15666666666666668,0.3361640617942,2.0,True,False,False,仅达到流程过关：链路已跑通，但相对 baseline 的收益仍不足。,0.03,0.016,0.08,300000,42
