episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,assumed_policy,assumption_correct,predator_a_action,predator_b_action,switched,running_error_chase_x,running_error_chase_y
12,89,7,-1.0,-7.0,chase_x,chase_x,True,1,0,False,7.287699637207078,8.0
12,90,8,-1.0,-8.0,chase_x,chase_x,True,1,3,True,4.0,8.0
12,91,9,99.0,91.0,chase_x,chase_x,True,1,4,False,4.916943231579827,8.0
13,92,1,-1.0,-1.0,chase_x,chase_x,True,1,3,False,4.83694323011013,8.0
13,93,2,-1.0,-2.0,chase_x,chase_x,True,1,3,False,4.756942951131801,8.0
13,94,3,-1.0,-3.0,chase_x,chase_x,True,1,3,False,4.676773936187947,8.0
13,95,4,-1.0,-4.0,chase_x,chase_x,True,1,3,False,4.770485509725061,8.0
13,96,5,-1.0,-5.0,chase_x,chase_x,True,2,3,False,5.681317642839257,8.0
13,97,6,-1.0,-6.0,chase_x,chase_x,True,2,1,False,6.506656586316974,8.0
13,98,7,-1.0,-7.0,chase_x,chase_x,True,2,0,False,6.392254351910192,8.0
13,99,8,99.0,92.0,chase_x,chase_x,True,2,0,False,7.272777478035971,8.0
14,100,1,-1.0,-1.0,chase_y,chase_x,False,3,4,False,7.186774625663281,8.0
14,101,2,-1.0,-2.0,chase_y,chase_y,True,3,2,True,8.0,3.959569799266256
14,102,3,-1.0,-3.0,chase_y,chase_y,True,4,2,False,8.0,3.878493090962344
14,103,4,-1.0,-4.0,chase_y,chase_y,True,1,2,False,8.0,4.7980837408785195
14,104,5,-1.0,-5.0,chase_y,chase_y,True,1,3,False,8.0,5.681856527404265
14,105,6,-1.0,-6.0,chase_y,chase_y,True,1,2,False,8.0,6.5447342971517255
14,106,7,-1.0,-7.0,chase_y,chase_y,True,4,0,False,8.0,7.419677900586625
14,107,8,-1.0,-8.0,chase_y,chase_x,False,4,3,True,4.0,8.0
14,108,9,-1.0,-9.0,chase_y,chase_x,False,2,0,False,4.728018901434342,8.0
14,109,10,-1.0,-10.0,chase_y,chase_x,False,3,1,False,4.575211393438043,8.0
14,110,11,-1.0,-11.0,chase_y,chase_x,False,3,3,False,5.309640271698211,8.0
14,111,12,-1.0,-12.0,chase_y,chase_x,False,2,0,False,6.062903942742325,8.0
14,112,13,-1.0,-13.0,chase_y,chase_x,False,2,4,False,5.920721874774139,7.91566990269053
14,113,14,-2.0,-15.0,chase_y,chase_x,False,3,4,False,6.831469004182873,7.8312009973929015
14,114,15,-2.0,-17.0,chase_y,chase_x,False,4,4,False,7.7513196388217995,7.747103708684254
14,115,16,-2.0,-19.0,chase_y,chase_x,False,4,4,True,4.0,8.0
14,116,17,-2.0,-21.0,chase_y,chase_x,False,3,3,False,4.914351316446149,8.0
14,117,18,-2.0,-23.0,chase_y,chase_x,False,1,1,False,4.757552549451417,8.0
14,118,19,-2.0,-25.0,chase_y,chase_x,False,0,0,False,5.458085324497259,8.0
14,119,20,-2.0,-27.0,chase_y,chase_x,False,4,4,False,6.373890155878303,7.91646263997671
14,120,21,-1.0,-28.0,chase_y,chase_x,False,4,0,False,7.087063945475711,8.0
14,121,22,-2.0,-30.0,chase_y,chase_x,False,0,4,True,4.0,8.0
14,122,23,-2.0,-32.0,chase_y,chase_x,False,0,0,False,4.9199905945069835,7.896468880615945
14,123,24,-2.0,-34.0,chase_y,chase_x,False,0,0,False,5.839990163764855,8.0
14,124,25,-2.0,-36.0,chase_y,chase_x,False,4,4,False,6.759990162894585,8.0
14,125,26,-2.0,-38.0,chase_y,chase_x,False,0,0,False,7.6799901617553195,8.0
14,126,27,-2.0,-40.0,chase_y,chase_y,True,4,4,True,8.0,3.9588466208835524
14,127,28,-1.0,-41.0,chase_y,chase_y,True,1,4,False,8.0,4.841193780832687
14,128,29,-1.0,-42.0,chase_y,chase_y,True,1,2,False,8.0,5.755347542949384
14,129,30,-1.0,-43.0,chase_y,chase_y,True,1,4,False,8.0,6.658484444964989
14,130,31,-1.0,-44.0,chase_y,chase_y,True,1,1,False,7.833172516006867,7.54254209741495
14,131,32,-1.0,-45.0,chase_y,chase_y,True,3,3,False,8.0,7.44740747462468
14,132,33,-1.0,-46.0,chase_y,chase_x,False,3,3,True,4.0,8.0
14,133,34,-1.0,-47.0,chase_y,chase_x,False,2,0,False,4.916472894170993,8.0
14,134,35,99.0,52.0,chase_y,chase_x,False,2,1,False,5.836058418336521,7.907673842146173
15,135,1,-1.0,-1.0,chase_y,chase_x,False,1,3,False,5.756058409832754,7.868735040020664
15,136,2,-1.0,-2.0,chase_y,chase_x,False,1,3,False,5.675557320631479,8.0
15,137,3,-1.0,-3.0,chase_y,chase_x,False,1,0,False,6.594278777638395,7.883615466479949
15,138,4,-1.0,-4.0,chase_y,chase_x,False,1,0,False,7.152849712017829,8.0
15,139,5,-1.0,-5.0,chase_y,chase_y,True,1,1,True,8.0,3.9545474389939628
15,140,6,-1.0,-6.0,chase_y,chase_y,True,3,1,False,8.0,4.756916774646864
15,141,7,-1.0,-7.0,chase_y,chase_y,True,3,0,False,8.0,5.672839101760194
15,142,8,-1.0,-8.0,chase_y,chase_y,True,1,4,False,8.0,6.442620100653894
15,143,9,99.0,91.0,chase_y,chase_y,True,1,0,False,8.0,6.310191512492404
16,144,1,-1.0,-1.0,chase_y,chase_y,True,2,3,False,8.0,6.222363305004772
16,145,2,-1.0,-2.0,chase_y,chase_y,True,3,3,False,8.0,6.139957389226797
16,146,3,-1.0,-3.0,chase_y,chase_y,True,3,3,False,8.0,6.323245813297788
16,147,4,-1.0,-4.0,chase_y,chase_y,True,2,3,False,8.0,6.46974785650251
16,148,5,-1.0,-5.0,chase_y,chase_y,True,3,1,False,8.0,7.3426046672469205
16,149,6,99.0,94.0,chase_y,chase_x,False,2,3,True,4.0,8.0
17,150,1,-1.0,-1.0,chase_y,chase_x,False,2,4,False,4.919999999474479,7.91975224544728
17,151,2,99.0,98.0,chase_y,chase_x,False,4,4,False,5.839999999353728,8.0
18,152,1,-1.0,-1.0,chase_y,chase_x,False,1,1,False,6.759996158994383,7.919993275888209
18,153,2,-1.0,-2.0,chase_y,chase_x,False,1,1,False,7.645374015951596,7.778359575341662
18,154,3,-1.0,-3.0,chase_y,chase_x,False,1,1,True,4.0,8.0
18,155,4,-1.0,-4.0,chase_y,chase_x,False,3,0,False,4.91992511798945,8.0
18,156,5,-1.0,-5.0,chase_y,chase_x,False,3,4,False,5.839924401888684,8.0
18,157,6,-1.0,-6.0,chase_y,chase_x,False,1,1,False,6.7599243503027395,8.0
18,158,7,-1.0,-7.0,chase_y,chase_x,False,3,0,False,7.679924348486675,8.0
18,159,8,-1.0,-8.0,chase_y,chase_x,False,3,4,True,4.0,8.0
18,160,9,-1.0,-9.0,chase_y,chase_x,False,1,1,False,4.9199999996324175,8.0
18,161,10,-1.0,-10.0,chase_y,chase_x,False,3,3,False,5.839999999273518,8.0
18,162,11,-1.0,-11.0,chase_y,chase_x,False,1,0,False,6.7599999987579995,8.0
18,163,12,-1.0,-12.0,chase_y,chase_x,False,1,4,False,7.67999999838802,8.0
18,164,13,-1.0,-13.0,chase_y,chase_x,False,3,3,True,4.0,8.0
18,165,14,-1.0,-14.0,chase_y,chase_x,False,3,0,False,4.919999999635226,8.0
18,166,15,-1.0,-15.0,chase_y,chase_x,False,3,3,False,5.839999999257437,7.896720455937382
18,167,16,-1.0,-16.0,chase_y,chase_x,False,3,3,False,6.759999996615632,8.0
18,168,17,-1.0,-17.0,chase_y,chase_x,False,1,1,False,7.679999995279299,8.0
18,169,18,-1.0,-18.0,chase_y,chase_x,False,4,4,True,4.0,8.0
18,170,19,-2.0,-20.0,chase_y,chase_x,False,1,0,False,4.919999999685013,7.862668599400253
18,171,20,-1.0,-21.0,chase_y,chase_x,False,2,0,False,5.839999999260579,8.0
18,172,21,-2.0,-23.0,chase_y,chase_x,False,0,2,False,5.759999996248168,8.0
18,173,22,-1.0,-24.0,chase_y,chase_x,False,4,0,False,6.679999993437677,8.0
18,174,23,-2.0,-26.0,chase_y,chase_x,False,0,4,False,7.5999999892524,8.0
18,175,24,-2.0,-28.0,chase_y,chase_x,False,2,2,False,7.51999998596968,8.0
18,176,25,-2.0,-30.0,chase_y,chase_x,False,0,0,True,4.0,8.0
18,177,26,-2.0,-32.0,chase_y,chase_x,False,3,3,False,4.919999795810349,8.0
18,178,27,-2.0,-34.0,chase_y,chase_x,False,2,2,False,4.83995996437193,8.0
18,179,28,-1.0,-35.0,chase_y,chase_x,False,0,3,False,5.588791914743827,8.0
18,180,29,-1.0,-36.0,chase_y,chase_x,False,4,4,False,6.166436472499533,7.9182567959782455
18,181,30,-2.0,-38.0,chase_y,chase_x,False,0,4,False,7.086426424472134,7.836562004639477
18,182,31,-2.0,-40.0,chase_y,chase_y,True,4,4,True,8.0,3.8774867762728413
18,183,32,-1.0,-41.0,chase_y,chase_y,True,2,4,False,8.0,3.795875083509456
18,184,33,-1.0,-42.0,chase_y,chase_y,True,2,4,False,8.0,4.669463682517189
18,185,34,99.0,57.0,chase_y,chase_y,True,2,1,False,8.0,5.586344508165069
19,186,1,-1.0,-1.0,chase_y,chase_y,True,1,4,False,8.0,5.506344471059841
19,187,2,-1.0,-2.0,chase_y,chase_y,True,3,4,False,8.0,5.4263422012043465
19,188,3,99.0,97.0,chase_y,chase_y,True,3,4,False,8.0,5.342984666276664
20,189,1,-1.0,-1.0,chase_y,chase_y,True,3,2,False,8.0,5.262690316427368
20,190,2,-1.0,-2.0,chase_y,chase_y,True,3,2,False,8.0,5.132050369836895
20,191,3,-1.0,-3.0,chase_y,chase_y,True,3,2,False,8.0,5.5915414044182885
20,192,4,-1.0,-4.0,chase_y,chase_y,True,3,4,False,8.0,6.405762174867002
20,193,5,-1.0,-5.0,chase_y,chase_y,True,3,2,False,8.0,6.317460638180984
20,194,6,-1.0,-6.0,chase_y,chase_y,True,3,2,False,8.0,6.2363754686672
20,195,7,-1.0,-7.0,chase_y,chase_y,True,3,2,False,8.0,7.155795185289859
20,196,8,99.0,92.0,chase_y,chase_x,False,0,4,True,4.0,8.0
21,197,1,-1.0,-1.0,chase_y,chase_x,False,3,1,False,4.919999993469279,7.982008355685627
21,198,2,-1.0,-2.0,chase_y,chase_x,False,3,1,False,5.839999987431535,8.0
21,199,3,-1.0,-3.0,chase_y,chase_x,False,2,4,False,5.7599999771603,7.919831111398805
21,200,4,-1.0,-4.0,chase_x,chase_x,True,3,4,False,5.679999965959931,7.839695977848754
21,201,5,-1.0,-5.0,chase_x,chase_x,True,2,4,False,5.599998031289642,7.759671380583117
21,202,6,-1.0,-6.0,chase_x,chase_x,True,2,4,False,5.519986318105063,7.677654327148629
