episode,opsdemo_reward,baseline_reward
797,90.0,91.0
798,86.0,93.0
799,90.0,92.0
800,94.0,92.0
801,90.0,92.0
802,89.0,92.0
803,92.0,90.0
804,91.0,96.0
805,94.0,93.0
806,87.0,88.0
807,77.0,85.0
808,91.0,95.0
809,89.0,92.0
810,92.0,90.0
811,95.0,88.0
812,-69.0,96.0
813,84.0,88.0
814,91.0,95.0
815,77.0,90.0
816,92.0,91.0
817,94.0,88.0
818,97.0,89.0
819,92.0,94.0
820,94.0,91.0
821,91.0,87.0
822,90.0,96.0
823,87.0,85.0
824,90.0,82.0
825,89.0,81.0
826,90.0,93.0
827,-59.0,88.0
828,92.0,92.0
829,72.0,87.0
830,92.0,94.0
831,82.0,90.0
832,87.0,88.0
833,92.0,88.0
834,91.0,96.0
835,92.0,93.0
836,92.0,96.0
837,97.0,94.0
838,98.0,96.0
839,87.0,85.0
840,90.0,98.0
841,85.0,97.0
842,89.0,86.0
843,-56.0,93.0
844,75.0,87.0
845,90.0,86.0
846,-49.0,99.0
847,89.0,95.0
848,89.0,94.0
849,87.0,97.0
850,94.0,94.0
851,94.0,96.0
852,92.0,87.0
853,91.0,89.0
854,89.0,92.0
855,95.0,95.0
856,92.0,89.0
857,96.0,92.0
858,90.0,86.0
859,97.0,95.0
860,43.0,92.0
861,-67.0,90.0
862,93.0,95.0
863,75.0,84.0
864,98.0,94.0
865,91.0,86.0
866,89.0,95.0
867,92.0,95.0
868,92.0,79.0
869,85.0,93.0
870,88.0,98.0
871,87.0,92.0
872,89.0,88.0
873,93.0,94.0
874,92.0,97.0
875,84.0,90.0
876,-50.0,94.0
877,90.0,91.0
878,92.0,91.0
879,90.0,88.0
880,93.0,92.0
881,91.0,93.0
882,99.0,85.0
883,96.0,84.0
884,93.0,86.0
885,96.0,90.0
886,94.0,99.0
887,93.0,88.0
888,89.0,87.0
889,91.0,91.0
890,87.0,93.0
891,95.0,93.0
892,90.0,92.0
893,91.0,88.0
894,96.0,90.0
895,-44.0,85.0
896,91.0,87.0
897,-62.0,88.0
898,95.0,88.0
899,98.0,91.0
900,85.0,92.0
901,87.0,92.0
902,91.0,98.0
903,83.0,91.0
904,92.0,93.0
905,90.0,88.0
906,93.0,89.0
907,89.0,86.0
908,90.0,94.0
909,94.0,86.0
910,73.0,94.0
911,85.0,93.0
912,95.0,91.0
913,91.0,89.0
914,94.0,93.0
915,61.0,86.0
916,94.0,90.0
917,85.0,96.0
918,91.0,93.0
919,91.0,93.0
920,96.0,94.0
921,96.0,86.0
922,95.0,91.0
923,93.0,87.0
924,90.0,98.0
925,91.0,91.0
926,90.0,85.0
927,97.0,93.0
928,90.0,94.0
929,87.0,95.0
930,-52.0,91.0
931,52.0,87.0
932,57.0,88.0
933,93.0,88.0
934,95.0,95.0
935,89.0,94.0
936,86.0,95.0
937,85.0,90.0
938,97.0,93.0
939,85.0,82.0
940,94.0,92.0
941,81.0,87.0
942,95.0,85.0
943,91.0,93.0
944,96.0,86.0
945,49.0,86.0
946,-59.0,86.0
947,70.0,95.0
948,81.0,83.0
949,96.0,96.0
950,94.0,88.0
951,93.0,86.0
952,90.0,95.0
953,89.0,87.0
954,91.0,84.0
955,94.0,87.0
956,90.0,83.0
957,56.0,98.0
958,94.0,89.0
959,92.0,96.0
960,92.0,96.0
961,47.0,90.0
962,76.0,98.0
963,91.0,91.0
964,94.0,90.0
965,92.0,97.0
966,95.0,93.0
