episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,response_policy,response_policy_correct,assumed_policy,assumption_correct,predator_a_action,predator_b_action,switched,running_error_chase_x,running_error_chase_y
13,94,3,-1.0,-3.0,chase_x,chase_x,True,chase_x,True,1,3,False,0.0,8.0
13,95,4,-1.0,-4.0,chase_x,chase_x,True,chase_x,True,1,3,False,0.0,8.0
13,96,5,-1.0,-5.0,chase_x,chase_x,True,chase_x,True,2,3,False,0.10956317021225148,8.0
13,97,6,-1.0,-6.0,chase_x,chase_x,True,chase_x,True,2,1,False,0.06502561641858057,8.0
13,98,7,-1.0,-7.0,chase_x,chase_x,True,chase_x,True,2,0,False,0.0,8.0
13,99,8,99.0,92.0,chase_x,chase_x,True,chase_x,True,2,0,False,0.0,8.0
14,100,1,-1.0,-1.0,chase_y,chase_x,False,chase_x,False,3,2,False,0.9599293353268139,7.95921336672592
14,101,2,-1.0,-2.0,chase_y,chase_x,False,chase_x,False,3,2,False,1.8867948823638976,7.918307283678889
14,102,3,-1.0,-3.0,chase_y,chase_x,False,chase_x,False,4,2,False,2.8425839905542984,7.864813911013723
14,103,4,-1.0,-4.0,chase_y,chase_x,False,chase_x,False,2,2,False,3.8025814321538816,7.804832576210717
14,104,5,-1.0,-5.0,chase_y,chase_x,False,chase_x,False,3,3,False,4.762572772776058,7.747613158527762
14,105,6,-2.0,-7.0,chase_y,chase_x,False,chase_x,False,0,4,False,5.7069850241609315,7.701772554377423
14,106,7,-1.0,-8.0,chase_y,chase_x,False,chase_x,False,4,0,False,6.65788215709066,7.6380486960404665
14,107,8,-1.0,-9.0,chase_y,chase_x,False,chase_x,False,3,3,False,7.609190196874024,7.582816890115062
14,108,9,-2.0,-11.0,chase_y,chase_x,False,chase_y,True,3,0,True,8.0,3.7594859145092845
14,109,10,-1.0,-12.0,chase_y,chase_y,True,chase_y,True,4,1,False,7.853899642130821,3.7049319139991024
14,110,11,-1.0,-13.0,chase_y,chase_y,True,chase_y,True,1,3,False,8.0,3.648206342815953
14,111,12,-1.0,-14.0,chase_y,chase_y,True,chase_y,True,1,0,False,8.0,3.5828427739173647
14,112,13,-1.0,-15.0,chase_y,chase_y,True,chase_y,True,4,4,False,7.890356015064162,3.5381740379589424
14,113,14,-1.0,-16.0,chase_y,chase_y,True,chase_y,True,4,4,False,7.771515698869241,3.4934140436116867
14,114,15,-1.0,-17.0,chase_y,chase_y,True,chase_y,True,1,4,False,8.0,3.449587737534396
14,115,16,-1.0,-18.0,chase_y,chase_y,True,chase_y,True,1,4,False,8.0,3.4057593117956815
14,116,17,-1.0,-19.0,chase_y,chase_y,True,chase_y,True,1,3,False,8.0,3.3517282754934885
14,117,18,-1.0,-20.0,chase_y,chase_y,True,chase_y,True,4,1,False,7.9585406630360405,3.2997902548995968
14,118,19,-1.0,-21.0,chase_y,chase_y,True,chase_y,True,4,0,False,8.0,3.232677568597171
14,119,20,-1.0,-22.0,chase_y,chase_y,True,chase_y,True,4,4,False,8.0,3.1898446045911646
14,120,21,-1.0,-23.0,chase_y,chase_y,True,chase_y,True,1,0,False,8.0,4.141442125011331
14,121,22,99.0,76.0,chase_y,chase_y,True,chase_y,True,4,4,False,8.0,4.098890054687919
15,122,1,-1.0,-1.0,chase_y,chase_y,True,chase_y,True,1,3,False,8.0,4.058889670490114
15,123,2,-1.0,-2.0,chase_y,chase_y,True,chase_y,True,1,3,False,8.0,4.018884603499143
15,124,3,-1.0,-3.0,chase_y,chase_y,True,chase_y,True,1,3,False,8.0,3.9787567565487985
15,125,4,-1.0,-4.0,chase_y,chase_y,True,chase_y,True,1,3,False,8.0,3.9312435167781117
15,126,5,-1.0,-5.0,chase_y,chase_y,True,chase_y,True,1,1,False,8.0,3.8902927680709833
