episode,global_step,episode_step,reward,intruder_policy,winner,reason
8,258,41,0.02093805760145187,detour,,running
8,259,42,0.02251342475414276,detour,,running
8,260,43,0.022354012131690984,detour,,running
8,261,44,0.02734716027975083,detour,,running
8,262,45,0.03157972782850266,detour,,running
8,263,46,0.034046601653099064,detour,,running
8,264,47,0.0328434669971466,detour,,running
8,265,48,0.027641711533069616,detour,,running
8,266,49,0.020191040039062504,detour,,running
8,267,50,0.01987065613269806,detour,,running
8,268,51,0.021714029610157018,detour,,running
8,269,52,0.023408743143081667,detour,,running
8,270,53,0.02487799167633057,detour,,running
8,271,54,0.025984611511230465,detour,,running
8,272,55,100.0,detour,interceptor,intercepted_before_small_circle
9,273,1,-0.21018230080604555,detour,,running
9,274,2,-0.20403457045555118,detour,,running
9,275,3,-0.19800821900367738,detour,,running
9,276,4,-0.19211249709129335,detour,,running
9,277,5,-0.18635728716850283,detour,,running
9,278,6,-0.18075321078300477,detour,,running
9,279,7,-0.17531162858009341,detour,,running
9,280,8,-0.17004475951194767,detour,,running
9,281,9,-0.16496553778648376,detour,,running
9,282,10,-0.16008770227432254,detour,,running
9,283,11,-0.15542582035064698,detour,,running
9,284,12,-0.150995067358017,detour,,running
9,285,13,-0.14681134581565858,detour,,running
9,286,14,-0.14289107084274294,detour,,running
9,287,15,-0.13925100326538087,detour,,running
9,288,16,-0.132566556930542,detour,,running
9,289,17,-0.12586862206459046,detour,,running
9,290,18,-0.11915697216987613,detour,,running
9,291,19,-0.11243130922317505,detour,,running
9,292,20,-0.10569138288497928,detour,,running
9,293,21,-0.09893697857856751,detour,,running
9,294,22,-0.09216778635978701,detour,,running
9,295,23,-0.08538349628448488,detour,,running
9,296,24,-0.07858381628990174,detour,,running
9,297,25,-0.07176844239234924,detour,,running
9,298,26,-0.06493701100349426,detour,,running
9,299,27,-0.0580891466140747,detour,,running
9,300,28,-0.05122446477413177,detour,,running
9,301,29,-0.044342539310455314,detour,,running
9,302,30,-0.0374429053068161,detour,,running
9,303,31,-0.030525079965591423,detour,,running
9,304,32,-0.023639718294143672,detour,,running
9,305,33,-0.016983903050422668,detour,,running
9,306,34,-0.010596505403518676,detour,,running
9,307,35,-0.0045074349641799905,detour,,running
9,308,36,0.0012706333398818936,detour,,running
9,309,37,0.006742587089538579,detour,,running
9,310,38,0.011915376186370848,detour,,running
9,311,39,100.0,detour,interceptor,intercepted_before_small_circle
10,312,1,-0.15374845027923587,detour,,running
10,313,2,-0.14681159615516665,detour,,running
10,314,3,-0.1399629092216492,detour,,running
10,315,4,-0.13321386933326723,detour,,running
10,316,5,-0.1265776014328003,detour,,running
10,317,6,-0.12006923317909243,detour,,running
10,318,7,-0.11370611548423769,detour,,running
10,319,8,-0.1075082874298096,detour,,running
10,320,9,-0.10021644592285157,attack,,running
10,321,10,-0.0942672646045685,attack,,running
10,322,11,-0.09680264949798584,attack,,running
10,323,12,-0.091168270111084,attack,,running
10,324,13,-0.0857417380809784,attack,,running
10,325,14,-0.08054276466369628,attack,,running
10,326,15,-0.07559258699417114,attack,,running
10,327,16,-0.07091385781764985,attack,,running
10,328,17,-0.06653045475482941,attack,,running
10,329,18,-0.06246691703796386,attack,,running
10,330,19,-0.05874778091907501,attack,,running
10,331,20,-0.05539672136306763,attack,,running
10,332,21,-0.05243528544902801,attack,,running
10,333,22,-0.049881590008735655,attack,,running
10,334,23,-0.05344605207443237,attack,,running
10,335,24,-0.051299265623092644,attack,,running
10,336,25,-0.04956567049026489,attack,,running
10,337,26,-0.04824503421783447,attack,,running
10,338,27,-0.04732980787754059,attack,,running
10,339,28,-0.04680518865585327,attack,,running
10,340,29,-0.04664973676204682,attack,,running
10,341,30,-0.046836558580398556,attack,,running
10,342,31,-0.04733488023281097,attack,,running
10,343,32,-0.048111764192581175,attack,,running
10,344,33,-0.049133709669113165,attack,,running
10,345,34,-0.0503680831193924,attack,,running
10,346,35,-0.05178415536880493,attack,,running
10,347,36,-0.05335378706455231,attack,,running
10,348,37,-0.05505181312561035,attack,,running
10,349,38,-0.056856161952018744,attack,,running
10,350,39,-0.05874771833419799,attack,,running
10,351,40,-0.06071018040180206,attack,,running
10,352,41,-0.06272979438304901,attack,,running
10,353,42,-0.06479499697685243,attack,,running
10,354,43,-0.06689619183540343,attack,,running
10,355,44,-0.06902542769908906,attack,,running
10,356,45,-0.07117616593837739,attack,,running
10,357,46,-0.07334302723407746,attack,,running
10,358,47,-0.0755216544866562,attack,,running
10,359,48,-0.07770846247673036,attack,,running
10,360,49,-0.0799005901813507,attack,,running
10,361,50,-0.08209571301937103,attack,,running
10,362,51,-0.08429198026657105,attack,,running
10,363,52,-0.08648790180683136,attack,,running
10,364,53,-0.08868230342864991,attack,,running
10,365,54,-0.09087427616119387,attack,,running
10,366,55,-0.08599650025367736,attack,,running
10,367,56,-0.08138037979602813,attack,,running
10,368,57,-0.07704367697238922,attack,,running
10,369,58,-0.07300316452980042,attack,,running
10,370,59,-0.0692739462852478,attack,,running
10,371,60,-0.06586879551410675,attack,,running
10,372,61,-0.06279754400253296,attack,,running
10,373,62,-0.06006645023822785,attack,,running
10,374,63,-0.0576778507232666,attack,,running
10,375,64,-0.05562992751598358,attack,,running
10,376,65,-0.05391672611236572,attack,,running
10,377,66,-0.052528387904167174,attack,,running
10,378,67,-0.051451665759086614,attack,,running
10,379,68,-0.042355746626853936,attack,,running
10,380,69,-0.04177173137664794,attack,,running
10,381,70,-0.04147758245468139,attack,,running
10,382,71,-0.0329695975780487,attack,,running
10,383,72,-0.03317785024642944,attack,,running
10,384,73,-0.025167385339736933,attack,,running
10,385,74,-0.02587634682655334,attack,,running
10,386,75,-0.018473211526870724,attack,,running
10,387,76,-0.01965346693992614,attack,,running
10,388,77,-0.012957540750503538,attack,,running
10,389,78,-0.014549121856689447,attack,,running
10,390,79,-0.008633474111557002,attack,,running
10,391,80,-0.0033605313301086417,attack,,running
10,392,81,-0.005472067594528188,attack,,running
10,393,82,-0.0010514473915100159,attack,,running
10,394,83,0.0025761330127716045,attack,,running
10,395,84,0.0053541326522827115,attack,,running
10,396,85,0.007263442277908323,attack,,running
10,397,86,0.00832984387874603,attack,,running
10,398,87,0.008620917201042168,attack,,running
10,399,88,0.008233269453048704,attack,,running
